Tag	p.value	HR	Low 95%CI	High 95%CI
ALG1	0.905016668014742	1.05727544032572	0.423538265518825	2.63926886357392
ALG2	0.912813916907052	0.954147260494164	0.411825870570892	2.21063575594822
ALG3	0.414573517149405	0.769686679009863	0.410399349313156	1.44351491988645
ALG5	0.395752473318395	1.34364512204671	0.679537131841978	2.6567822851802
ALG6	0.0916623568170944	0.490946400948425	0.214788405747434	1.12216657023673
ALG8	0.225892640825567	1.5573559450495	0.760354682868751	3.18977129256357
ALG9	0.292200376290678	1.69519475937146	0.634883688795956	4.52631769080466
ALG10	0.25884156023458	0.576243372361042	0.221341437465374	1.50019999866484
ALG10B	0.897191676022854	1.06084988074289	0.433025204256663	2.59893063592936
ALG11	0.251184768101284	1.92725573091528	0.628412056199367	5.91063557056804
ALG12	0.765491326419684	0.88380280993188	0.392518187284673	1.98999035496154
ALG13	0.968190740060905	0.976433799212983	0.302406655272837	3.1527843307063
ALG14	0.820328617943199	1.12291683464009	0.412924283651393	3.05368869655209
DPM1	0.438548284292962	1.25193383859695	0.709066551894052	2.21042486355819
FUT8	0.121624908599748	0.711422778963994	0.462276148018724	1.09484855015352
MGAT1	0.371685158832986	0.696288936569728	0.314678178434658	1.5406797052185
MGAT2	0.413425481490363	1.28831176069631	0.70204885610746	2.36414770611688
MGAT3	0.88232819668957	0.965900029501457	0.610118119309813	1.52915122082641
MGAT4A	0.862977849767673	0.954821855120202	0.564819785320347	1.61411621672939
MGAT4B	0.828503393929002	1.0747527722654	0.55979941438004	2.06340609121823
MGAT4C	0.859594403391731	1.24605642021	0.108885632553638	14.2595176786221
MGAT4D	0.171880553233608	9.73577268356281	0.371903328838584	254.865343749443
MGAT5	0.057433666998901	2.03273777719158	0.977859044827757	4.2255812764401
STT3A	0.00570068569482191	2.14268840945042	1.24829898310643	3.67789582634126
STT3B	0.297438361437985	0.691529327978114	0.345528241799165	1.38400499178825
UGGT1	0.718295020761851	1.14565994716155	0.547260512734987	2.39837642948267
UGGT2	0.259723296766063	1.4736720008458	0.750839293141385	2.89237548689122
GALNT1	0.816611149591477	0.937192628443679	0.541675353719899	1.62150634467183
GALNT2	0.888911643705895	0.957523866888428	0.520771518954195	1.76056470504028
GALNT3	0.0127633742325259	1.53246323391205	1.09516877319411	2.14436680516631
GALNT4	0.169035990405564	37.2761416259382	0.214768354339188	6469.81134065274
GALNT5	0.233876656827018	1.1917002046465	0.892818719666115	1.59063575446266
GALNT6	0.132609537820463	1.3417059259579	0.91471612857219	1.96801470480301
GALNT7	0.115511541006626	0.641026528404253	0.368450989104245	1.11525012082882
GALNT9	0.989514221608569	1.01449138835619	0.118688421441612	8.67138314376494
GALNT10	0.0298032311569039	0.593966200192236	0.371257101040178	0.950273667445953
GALNT11	0.190839803055891	1.56019889715439	0.801184575902636	3.03827691133386
GALNT12	0.606157128538814	1.19856483721254	0.60203813108422	2.38615727946535
GALNT13	0.586779195987973	0.76473672770091	0.29069739647889	2.01179050716804
GALNT14	0.000959511979208666	1.56608783196115	1.20000804037481	2.04384555344371
GALNT15	0.660329566301166	1.11931394337571	0.677062184401727	1.85044111560056
GALNT16	0.255243356637507	0.587671466060222	0.235187930288156	1.46843314449952
GALNT18	0.938489998777679	0.973562919090006	0.492975478629755	1.92266106229375
C1GALT1	0.579638749433225	0.858009896476701	0.499069960288995	1.47510577880837
GCNT1	0.770303624668554	0.943414841792801	0.638100562911921	1.39481394539655
GCNT3	0.811083418390049	1.15002690687086	0.365527679693766	3.61822636150284
GCNT4	0.286971615908496	2.50817304862486	0.461590946682743	13.6288029196811
B3GNT6	0.817573388257475	1.20245433143043	0.251033068609775	5.75978466575414
UGCG	0.286619848021371	1.31666842026202	0.793808563952087	2.18392167537753
UGT8	0.555565291618941	0.807401008791475	0.396414802669977	1.64448043969793
B4GALT5	0.499081850206204	0.807104977821608	0.433571994171137	1.50244585439551
B4GALT6	0.565602628168568	1.15043187145574	0.713250722283865	1.85557960127018
A4GALT	0.722710992204376	0.917485745317108	0.570183908193105	1.47633084828308
B3GALNT1	0.34855609003314	1.29951695303602	0.751413877771887	2.2474223077108
B3GNT5	0.480605999619434	0.747397168499907	0.332794841960457	1.67851918674885
B4GALNT1	0.00686400320665077	1.56714672353756	1.13149783068018	2.17052899837922
GBGT1	0.0431300159977372	1.56433743979765	1.01392061382562	2.41355347961545
GXYLT2	0.0557458519774008	1.36484418710863	0.992395910067123	1.87707308765333
POGLUT1	0.538202127182739	1.33353084793585	0.533300797591782	3.33452440053864
XXYLT1	0.551106515849772	0.778481903421921	0.341725754846808	1.77345156272198
XYLT1	0.175082826120292	0.729317322161498	0.462150496688274	1.15093191550456
XYLT2	0.0815459288338176	0.426214009004439	0.16325337483455	1.11273890451416
B4GALT7	0.688192750080922	0.882281818427837	0.478583124492679	1.62651202537384
B3GALT6	0.42488598637507	0.78902559593572	0.440888282510022	1.41206154878377
B3GAT3	0.0941380873594782	1.43251147865087	0.940437865045998	2.18205711694322
